said	744.764446995
congress	667.531236274
bjp	618.198690972
party	584.769199946
government	524.790863166
minister	497.414463153
state	377.470451411
chief	301.638738302
assembly	277.524589618
leader	203.991153469
modi	183.358734771
sabha	181.141503104
president	171.530026748
delhi	168.815191929
people	158.636005358
leaders	149.762170827
opposition	147.580842313
new	133.171347997
singh	130.770489302
elections	130.467765704
political	119.120905853
issue	115.123279893
polls	115.038119559
march	114.988907189
house	113.84118353
election	109.450457758
members	107.991011289
today	107.483014961
gandhi	104.539118789
prime	103.588424673
india	99.9580996928
alliance	99.2662559623
mlas	98.516255124
lok	95.4310424968
seats	93.6703075868
told	91.7792291694
meeting	91.0136486981
national	90.8883749375
left	87.4764227562
parties	86.8595878174
asked	86.778662376
led	85.4799041067
bengal	83.9771183616
country	83.969258778
time	83.5996711452
rajya	83.442773124
kumar	81.6957921815
court	80.7408166396
narendra	77.6410604114
mr	76.405978255
union	75.9709555681
like	75.2546557301
committee	74.8725256221
day	71.9632760212
candidates	71.7679337751
year	69.9308420149
assam	69.2117993034
rss	67.6166242756
rahul	67.3214940891
case	67.3129798279
ruling	67.039843761
janata	66.8515806721
member	66.7089754715
including	66.6425380227
cpi	66.582959299
alleged	66.2359970559
rs	66.0825242061
west	65.9332426716
money	65.1897713612
speaker	64.811555728
police	64.8079225386
senior	63.3507315737
pradesh	60.9740937695
mla	60.7612266314
power	60.7112095172
secretary	60.5838155102
punjab	60.472462236
parliament	59.6295520599
did	59.5308632498
centre	59.3637018824
district	59.1429952112
budget	57.6028282334
support	57.297938954
decision	56.7242395279
bihar	56.3856013554
saying	56.0992633503
years	55.4593508877
taken	55.2464072132
monday	55.1151803946
held	54.7142894426
given	54.5404003248
added	53.1174658801
anti	53.0291220969
earlier	52.7042623683
seat	52.0464440496
contest	51.328257707
bharatiya	51.3213131023
kejriwal	50.8999679261
come	50.1986291263
development	50.134250777
general	49.6539890178
workers	49.3495917137
kerala	48.822941367
governor	48.7674926357
list	48.3895347825
matter	47.5618382622
finance	47.5054120961
mp	47.3444524638
candidate	47.3179882244
action	47.2935586423
pm	46.6539789729
politics	46.2192927181
april	46.1456009288
announced	45.9006610569
session	45.4547698735
tuesday	45.0268401462
ministers	44.1655901656
media	43.9271068662
high	43.0290822785
accused	42.9215619148
states	42.7573879334
central	42.3267724135
legislators	42.0562374695
law	41.9494566343
crore	41.5878493231
make	41.379900221
wednesday	40.7862326098
vijay	40.7098221241
2016	40.1328291508
poll	40.0134868506
vice	39.8051159209
kashmir	39.6061976102
cm	39.5950072574
land	39.0968730728
order	38.9150966764
vote	38.8644393467
raised	38.7640714563
pti	38.7420313096
azad	38.7377247436
maharashtra	38.526262431
public	38.2881650323
constituency	38.0293550949
sources	37.5209065514
campaign	37.0478095366
horse	36.8535286173
arun	36.8189911281
reporters	36.8167240282
claimed	36.5825908883
meet	36.3979403324
tmc	36.2053977418
issues	35.9135775315
decided	35.7957778767
taking	35.7470953449
statement	35.695528243
shah	35.4483869029
majority	35.4309398444
demanded	35.3637175252
nda	35.2332648275
question	34.77821356
mufti	34.7767202496
parliamentary	34.6525369582
came	34.5936797209
days	34.4191799363
attack	34.2706346195
reservation	34.232529827
dmk	34.2276525434
took	33.9857076899
fight	33.7550586981
leadership	33.7097022808
aap	33.2760250536
friday	33.1880562211
2014	33.1643898437
thursday	33.1486552138
present	33.1003187311
passed	32.9910139691
women	32.9351972357
votes	32.8568778647
yadav	32.8167580345
notice	32.6331925767
10	32.4637488866
sought	32.4026973234
right	32.2592369027
16	31.9414438277
protest	31.744270851
won	31.6937712358
does	31.6789762869
set	31.6292128142
going	31.5511958845
making	31.5379028557
filed	31.5091984823
rebel	31.4756620287
office	31.3573900707
harish	31.326375109
trying	31.1427047419
just	31.0858035668
sena	30.9873014444
farmers	30.8785890747
met	30.7244003495
11	30.4731788115
want	30.4703772686
mps	30.3120439743
democratic	30.1335409589
constituencies	30.0751445767
commission	29.7507533587
work	29.7014781838
sunday	29.6827755186
demand	29.6417949304
mar	29.5850396297
act	29.5533093801
indian	29.4611828814
cabinet	29.0388817591
say	28.8406175081
corruption	28.8332451078
comments	28.8067065787
way	28.7618775712
news	28.5357713659
tamil	28.4517611203
naidu	28.2565393406
month	28.2313122804
15	28.2306311857
deputy	28.1943003069
legislative	27.793104518
talks	27.7915890597
later	27.6795034321
form	27.5405945964
got	27.2056043059
joshi	27.1490605519
water	26.9548571089
slogans	26.8882116403
ahead	26.8667385095
saturday	26.8607205313
seeking	26.7147071859
help	26.6944682415
called	26.6098719983
affairs	26.3060355507
issued	26.0217887118
week	26.0135158432
place	25.8159244414
speech	25.8111854041
nadu	25.7795152448
poor	25.7560677521
allegedly	25.7312290788
students	25.7299480616
rule	25.7246285237
elected	25.6500617989
various	25.5563379919
months	25.2876913544
cbi	25.2841372181
bose	25.1128626969
formation	25.0833639675
motion	25.0775496825
seen	25.0699528889
charge	24.9512172743
clear	24.8663340884
declared	24.7018749797
hour	24.6664508961
amit	24.6185339673
debate	24.5335659849
nitish	24.4673705043
following	24.4653829466
second	24.4387440578
crisis	24.3701595953
speaking	24.1017588936
says	24.0012543831
jd	23.9027476346
view	23.8851503008
adding	23.8267047604
need	23.816884221
number	23.7330345932
yesterday	23.7206520051
rights	23.7001509896
lakh	23.468303999
according	23.4458708095
sharma	23.3664144432
000	23.3598960135
bharat	23.344005892
situation	23.313782677
son	23.2765734254
special	23.2580871616
supreme	23.2213584506
upcoming	23.169990364
likely	23.1655422657
coming	23.1444144402
failed	23.0768765575
probe	23.0107703395
cases	22.8500290646
