said	1728.18182679
police	1120.31365826
government	595.332388327
court	553.223389652
case	422.09736785
rs	420.084480648
state	418.907537068
minister	381.333024856
year	327.042431596
delhi	317.32970219
district	287.575475507
march	286.078351419
india	283.957807703
comments	269.686155547
capital	262.42965729
people	254.907779002
chief	240.971959903
new	240.757535375
city	225.541059007
arrested	224.286878567
today	216.741027024
accused	202.741431682
high	194.144091556
officials	192.989200528
crore	188.426807598
public	188.264315443
lakh	184.359336332
day	181.580302772
told	179.607825882
singh	172.384281376
national	169.778481635
area	169.306407482
members	163.753182743
time	161.095010698
including	160.470344941
security	156.775427753
land	156.376029313
old	155.792243047
taken	155.690399847
station	154.389334857
road	153.600865413
party	151.714244294
kumar	150.160952651
according	149.204385596
years	148.254462235
department	147.784578995
team	146.977806561
foreign	144.354794676
alleged	141.080242895
act	140.055938321
allegedly	138.681674363
order	138.665952727
10	138.432754134
added	137.922411147
country	136.732571476
official	135.601166922
asked	134.579719775
water	131.25808287
indian	131.149025735
officer	130.149559049
000	129.132436568
monday	128.718754691
near	128.359889784
house	128.200018499
hospital	123.86987758
filed	123.387050199
president	122.285475024
mumbai	121.370089168
registered	120.604785014
bank	120.442051546
tuesday	119.974530834
incident	119.070000117
women	118.449578836
earlier	116.910975966
company	115.129966497
central	114.484892295
days	113.320131199
money	112.441832642
report	112.357119986
senior	111.497456957
bodies	109.763485631
action	109.234588982
2016	108.490229076
justice	108.359689735
provide	108.296842761
letters	107.815849089
cases	106.994842206
leader	105.22876881
wednesday	105.193907019
non	105.109231014
development	104.747699516
investigation	103.503770624
issue	103.299699596
sources	102.004347818
family	101.96804159
law	101.582875633
village	101.530338812
like	101.163311391
killed	100.700663927
meeting	100.218036325
persons	100.197474518
february	99.647807497
complaint	99.1376145212
took	99.0424516749
thursday	98.7553024713
mr	98.5904403389
event	98.0366291701
later	97.2233425718
project	97.0609492998
15	96.0816242322
special	95.7171036207
students	95.4311856353
funds	95.3387110335
matter	94.6951772625
attack	94.529064362
office	94.2261714367
injured	94.0393721953
work	93.343961084
based	93.1392338662
use	92.2043358154
set	91.6908758972
did	91.5513015674
media	91.1224308766
corporate	90.9353994426
issued	90.8309410708
pakistan	90.6368415027
given	90.2942728915
union	89.7698023939
friday	89.6186804325
woman	89.5692611592
30	89.3997423118
month	89.2723651644
place	88.9700021668
come	88.6674885776
cbi	88.5555697431
group	88.5457026619
number	88.2271610304
following	87.9560803894
secretary	87.7698771419
private	86.4220922725
statement	85.9221575786
committee	85.9177486906
held	85.0174992226
maharashtra	84.7544760174
death	84.6393367907
pti	84.4674021848
general	83.7183711318
sunday	83.1419743277
traffic	81.9981209787
came	81.5189270997
authorities	81.2455053407
using	81.1977917709
personal	80.9310351095
bail	80.8492889316
local	80.6929613486
man	80.4528761391
supreme	79.9727045125
probe	79.4382957441
2015	79.1718974543
girl	78.6676839172
service	78.2654478989
20	78.159143953
bjp	77.821922327
body	77.6768314937
banks	77.5381838427
mar	76.9744091304
commissioner	76.8866796347
connection	76.6496407239
months	76.6291696389
agency	76.4195839744
ministry	76.2632468836
anti	75.7147076867
sent	74.945589852
share	74.7055871701
prime	74.3650779346
pradesh	74.2053513362
night	74.18452085
companies	74.1685745246
identified	74.1157695808
hindu	74.0650603468
seeking	73.9063045218
published	73.6797547002
son	73.550904046
various	73.4994210174
car	72.8820643898
bench	72.0506345344
saturday	72.0196327388
vehicles	71.4789871911
reports	71.420861701
holding	71.3044063626
11	70.8672399369
resident	70.6827063567
home	70.6062892847
kashmir	69.6771009724
saying	69.6424976784
make	69.629489318
workers	69.5600892294
ed	69.1897784021
congress	69.1109437622
air	69.0695984389
complete	69.0640110305
12	68.7387030682
officers	68.4595228835
16	68.2472522966
construction	68.1374653344
decision	68.1302399508
lower	68.0377839041
till	67.9342764449
help	67.8853666569
used	67.8669950957
areas	67.3786947013
vehicle	67.247133416
led	67.1968758725
direct	66.9840094294
left	66.78544742
airport	66.7117106065
personnel	66.6661148694
claimed	66.3943755991
jail	66.1415418462
information	66.1029449825
crime	66.0147671028
long	65.9812747031
sri	65.9105009094
january	65.867856388
murder	65.8390115942
hearing	65.1618054661
received	64.951337687
sought	64.9186520767
cent	64.6863462139
charges	64.6420995762
centre	64.2264712233
force	64.1019982063
political	63.9334901336
rights	63.2946692242
commission	63.2614802265
17	63.2305731247
avoid	63.2261754933
fir	62.6636543403
section	62.4916748999
protest	62.3874840372
arrest	61.9048245491
taking	61.8982812156
14	61.7873842806
criminal	61.7493254715
called	61.6808748823
financial	61.6573917017
way	61.4663195854
charge	61.3450624342
director	61.3317906157
deputy	61.0910480911
assembly	60.8888237142
power	60.4912700161
adding	59.9969197325
25	59.9915338719
week	59.9014779229
foundation	59.6488036621
additional	59.5745708377
punjab	59.3830405609
news	59.351748702
started	59.1562288255
states	59.0807405161
international	58.9294924557
army	58.8478204419
mla	58.8274833455
pay	58.7672754768
corporation	58.7158284557
bus	58.7010400725
life	58.6892080345
tax	58.2932589202
remove	58.2198284394
present	58.0429233172
services	58.0070163218
informed	57.9325266356
employees	57.7626725689
institution	57.6501085851
example	57.5610402049
member	57.4938894748
2014	57.1898627632
died	56.9462260375
judge	56.8726579697
50	56.5918464883
plea	56.3403606177
spot	56.286577661
control	56.1999316601
wait	56.1756417812
raised	55.9194789779
decided	55.9092935218
men	55.6299415199
ensure	55.3926762925
transit	55.3167953612
different	55.2975453801
april	55.1655176133
scheme	55.1402561642
administration	55.0420494602
genuine	54.7829972699
email	54.6675788784
soon	54.2848149061
write	54.2581671417
morning	53.9317206762
