said	3657.25419627
india	1253.73723316
government	987.573243715
new	884.304670463
minister	783.98547896
year	762.137755049
people	725.387603324
state	724.659565664
world	683.62852844
police	654.146763903
march	645.941882597
time	603.395291422
rs	559.998603879
like	543.240544065
delhi	528.023261686
film	500.648543402
court	459.568267887
indian	443.743289184
pakistan	426.845619389
country	426.321946981
party	426.233308758
day	420.014585681
chief	412.546142562
today	397.444621328
years	395.019431495
team	394.991162013
2016	392.75489665
women	391.201635316
told	370.302397267
congress	344.669569867
just	337.582450915
security	334.605703625
case	331.897518877
added	330.866090538
10	329.933825041
bjp	326.077213862
singh	325.905352904
high	321.726603516
crore	320.666348295
president	319.193329251
make	317.979329486
including	317.403985736
000	299.644350454
national	298.668410337
company	290.974792557
group	282.682136346
students	272.673357173
match	271.870106398
good	270.541528215
according	265.078045989
news	258.436073106
work	256.586199487
old	256.573050337
did	255.281719205
come	247.486612174
way	247.219287488
home	244.33645377
percent	243.227296334
asked	242.580852787
official	241.804539119
event	239.976016863
movie	238.480773356
khan	237.826782203
cent	235.856662277
media	235.509815727
earlier	231.684428796
bank	231.494838065
house	230.161190398
set	228.356994868
actor	227.11515265
report	222.382451947
international	221.324484296
given	220.852936826
tuesday	219.482505695
days	219.352286131
cricket	219.168988163
statement	218.641496854
15	217.812315882
going	216.959017363
based	215.370607229
taken	214.243302464
life	211.461003198
mumbai	211.125335367
don	210.584897069
leader	209.410283725
kumar	208.092723533
district	206.72077192
month	206.69469814
seen	203.822227752
public	203.176326788
prime	202.106457204
need	201.256269863
action	199.134785459
left	198.983345562
issue	198.914199241
wednesday	197.373533193
help	196.399115346
university	195.940951353
modi	195.775203766
know	195.464019855
officials	195.412765657
says	195.092361819
mar	194.871728956
saying	194.566808933
got	193.907714042
right	192.849821305
city	192.615326844
meeting	192.584124623
monday	192.10898724
long	191.739280483
family	191.371570664
took	191.250400889
second	189.054158783
look	188.31585565
place	186.947077633
2015	186.265493776
number	186.221666697
market	185.660656073
order	184.302669693
want	183.585252179
week	182.334021149
members	181.315631572
million	179.298228857
director	178.979466342
assembly	178.628905419
development	178.441706784
best	177.918173748
used	176.48604026
20	176.38910405
money	175.381804953
11	174.694538873
business	174.218763139
end	173.922964889
kapoor	173.730110279
love	173.057188408
led	171.795049741
12	171.519474171
power	171.084661543
play	170.996208889
thursday	169.579922685
came	169.083824952
held	168.390231255
think	168.123860132
attack	167.888283236
political	167.367749202
say	167.074692011
read	166.627743504
big	166.111510233
candidates	165.781364492
south	164.708155864
making	164.547836671
central	164.093133314
game	163.891432693
months	161.503347823
office	161.317089323
role	160.98302866
lot	160.638373157
reports	160.281221043
different	159.205847348
later	158.587584624
sri	158.56958366
30	158.240916319
pti	157.768140167
lakh	157.222953403
called	156.898005549
committee	156.337587472
16	155.875493308
17	155.752894958
hit	155.538844637
april	155.46182966
sabha	154.803066401
global	153.771396898
states	153.197340381
reported	153.18851982
union	152.711306345
health	152.314038268
man	152.039909498
actress	152.036692704
following	151.867866704
department	150.587232883
support	150.560778111
law	149.772136239
expected	148.19398547
west	147.960500587
video	147.457904231
taking	147.040899693
run	146.415598941
banks	145.929041283
alleged	145.409499841
release	145.332300223
killed	144.684172625
area	144.536472492
matter	144.395559368
start	144.052838689
use	143.943975466
senior	143.337394698
board	143.23571898
ministry	142.847164701
decision	142.208389647
february	141.925437686
opposition	141.81238076
growth	140.02464401
friday	139.584554001
recently	139.334978594
14	139.146289597
anti	139.042534154
general	138.217663626
times	138.179811513
star	137.070653495
leaders	136.889700922
important	136.276728376
2014	136.060190234
does	135.481763477
centre	135.404106666
accused	135.317814596
social	135.110913379
secretary	134.511069751
act	134.392571681
announced	133.4719408
bollywood	133.002241742
special	132.73032816
united	132.594987732
various	132.533702742
working	132.438459646
18	132.23993223
body	131.761824181
water	131.656844584
far	131.543071611
kolkata	131.406339869
win	131.088635129
past	130.117770285
arrested	130.031898025
started	129.420550552
project	129.073945527
agency	129.035046811
foreign	128.541064301
twitter	127.599350069
won	127.397499339
capital	126.658563256
cup	125.972254948
soon	125.934863974
woman	125.607364756
post	125.152577909
13	124.875920637
away	124.65914144
released	124.522617083
bangladesh	124.2508322
better	124.178894171
major	124.178797331
sunday	124.049105756
adding	123.518797208
member	123.466998812
story	122.816759176
view	122.624253106
rights	121.880882032
level	121.3945845
land	120.986492067
countries	120.614498631
budget	120.568963403
50	120.492836749
things	120.485407165
information	120.122081036
icc	119.844404877
great	119.358690975
really	119.142674274
sources	118.921390573
played	117.699419587
recent	117.607571139
issues	117.581250968
companies	117.0260495
went	116.952072841
25	116.774139526
children	116.673788074
china	116.458502591
having	116.380538553
industry	115.856027024
total	115.691966694
launched	115.590202731
financial	115.552059495
playing	115.200992215
near	115.006857437
incident	114.76924696
service	114.619881212
issued	114.580063643
forces	114.289484446
runs	114.270473224
comes	114.079982334
sector	113.657666499
services	113.615860715
january	113.306799286
sharma	112.521808453
cases	112.252394435
policy	112.144211591
justice	111.77440869
road	111.46187397
let	111.167180659
received	110.748170587
process	110.596058449
filed	110.320062479
pradesh	110.139041543
men	110.121143822
image	109.675663412
trump	109.436764012
likely	109.178885684
local	109.1585113
private	108.983968239
officer	108.717791563
oil	108.138096759
allegedly	108.045632401
doing	107.86744681
air	107.777133081
directed	107.661196119
lead	107.360040853
finance	107.355984641
19	107.109532078
education	106.77414216
technology	106.625586198
test	106.608622945
face	106.559445782
known	106.510943736
present	106.48541833
provide	106.34878641
decided	106.282782238
school	106.162436424
raised	105.472828723
non	105.334463652
claimed	105.297912254
open	104.998789224
