said	3657.25419627
film	2320.46412707
india	1253.73723316
rs	1158.70785306
police	1120.31365826
government	987.573243715
people	934.92011011
actor	912.598133847
new	884.304670463
world	823.17238996
crore	806.249788886
minister	783.98547896
khan	768.308832545
cent	765.214038891
year	762.137755049
state	724.659565664
pakistan	697.248974686
time	672.95738143
movie	668.496443313
congress	667.531236274
like	661.691321848
kapoor	650.955482537
march	645.941882597
match	644.291664229
percent	641.704324565
team	635.953703247
bjp	618.198690972
cricket	598.280393528
party	584.769199946
women	562.857721354
bank	555.171491251
court	553.223389652
actress	543.848268327
delhi	528.023261686
students	494.726272386
just	470.479417084
films	461.52711948
bollywood	455.169764668
company	447.738494764
indian	443.743289184
make	442.178837069
market	440.648134426
country	426.321946981
case	422.09736785
day	420.014585681
chief	412.546142562
years	402.086444115
love	401.591234734
today	397.444621328
2016	392.75489665
president	381.787879899
growth	381.617941808
role	381.390605324
star	373.28062474
told	370.302397267
seen	359.250697741
health	355.689127647
security	355.273384346
game	353.616459423
work	352.840730673
director	352.51168472
salman	337.550809385
cup	333.679504997
added	330.866090538
10	329.933825041
singh	325.905352904
way	325.241632015
high	321.726603516
release	319.662967286
including	317.403985736
icc	315.045872265
don	307.929847191
000	307.15099517
says	306.285503181
news	299.865712362
national	298.668410337
bangladesh	293.388172179
tax	291.683907523
oil	291.661386419
sector	291.035095321
banks	290.837431536
university	290.62923998
story	288.331055751
district	287.575475507
prices	287.297055529
life	286.056336729
runs	284.581038244
group	282.682136346
need	280.827057376
good	279.611164332
assembly	277.524589618
global	277.184062813
comments	269.686155547
zealand	267.430967624
want	266.110873242
according	265.078045989
rate	264.971800338
capital	262.42965729
old	262.018244228
look	260.671009134
win	258.626293694
markets	258.344538387
know	255.989773888
did	255.281719205
play	248.264108127
use	247.939210756
australia	247.496186741
come	247.486612174
tournament	244.975981764
home	244.33645377
directed	243.032147997
asked	242.580852787
prime	242.445585248
official	241.804539119
stars	240.645219029
billion	240.552159936
event	239.976016863
going	237.110544503
media	235.509815727
killed	235.430963551
family	234.016829769
upcoming	233.823062734
help	233.789463925
think	233.186097013
earlier	231.684428796
house	230.161190398
right	230.123631007
best	229.543150043
overs	229.253142403
used	228.790928934
set	228.356994868
business	227.127187338
city	225.541059007
companies	224.958648986
arrested	224.286878567
tuesday	223.545601785
investment	223.415425794
shah	222.78569181
report	222.382451947
international	221.324484296
given	220.852936826
actors	220.206586514
investors	219.687367168
song	219.566609854
